Time,,Differential Pressure (PSI),,,,Absolute Pressure,,,Temperature (degC),,,,Inputs,,
Time Stamp,Time Elapsred (hrs),Section 1,Section 2,Section 3,Section 4,Inlet,Outlet,Confining,Room,Pore,Jacket,,Temp Setpoint (deg C),Pump Setpoint (PSI),Brine Salinity (%)
07:32.6,50.50,6.93594264,-0.08952527,4.34142752,-2.76810478,1412.810011,1268.073628,1984.859763,11.92174485,9.9038858,9.03345486,,,,
12:30.9,50.58,6.31097226,0.89468336,3.07112452,-2.62388081,1411.682016,1269.178714,1984.859763,11.85760241,9.77183577,9.12088949,,,,
17:29.2,50.66,6.04387267,0.53943642,3.45120912,-3.23863424,1410.094298,1270.641251,1984.859763,11.5344821,9.84283747,8.88765756,,,,
22:27.6,50.74,6.58444464,0.04248658,4.16392769,-3.32698074,1408.439973,1272.408947,1984.859763,11.26776173,10.08236911,9.11397353,,,,
27:25.9,50.83,7.01948543,-0.42674709,4.60446001,-3.25737726,1406.976358,1274.709134,1984.859763,11.35998013,10.3737835,9.1621672,,,,
32:24.2,50.91,7.36699523,-0.83342739,5.12517524,-3.5003284,1405.411605,1277.330317,1984.859763,11.5728808,9.23679157,9.12114179,,,,
37:22.5,50.99,7.90842679,-0.40504023,4.57756623,-3.0300502,1404.317115,1280.411082,1984.859763,11.63813502,10.57823444,9.12346217,,,,
42:20.9,51.08,7.83572133,0.07218122,3.93525422,-2.76725477,1403.139108,1283.378082,1984.859763,11.54313331,10.22046336,9.15689645,,,,
47:19.2,51.16,7.91626943,0.42658268,3.58824907,-2.66293655,1402.218324,1286.438738,1984.859763,11.3889701,10.40108567,9.13069323,,,,
52:17.5,51.24,7.96962669,0.75156357,3.10225972,-3.19699806,1401.301047,1289.381943,1984.859763,11.29022945,10.38269113,9.16284002,,,,
57:15.8,51.32,7.05296214,0.60027898,3.2272512,-2.59126796,1400.611832,1292.274823,1984.859763,11.13661222,9.69036282,9.17597732,,,,
02:14.1,51.41,6.85185111,0.82615608,3.00035932,-2.2733368,1400.281027,1295.364889,1984.859763,11.13343695,10.20300319,9.15323423,,,,
07:12.5,51.49,6.73730358,0.75192469,3.04070841,-2.26096268,1399.810358,1298.413961,1984.859763,11.1060011,10.11251977,9.19884242,,,,
12:10.8,51.57,5.60636354,1.27465196,2.33038414,-1.83272279,1400.097308,1301.285369,1984.859763,11.16987749,9.68149651,9.14048937,,,,
17:09.1,51.66,4.52528626,1.8742692,1.77754629,-1.91651313,1400.440772,1304.186188,1984.859763,11.14767759,10.64340957,9.18270476,,,,
