1620000,  5250,   867, -1015,  6523, -2847, -1236,  -734,  1165,11111001, 0000023940,0252347849,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000023940,  5250,0000000000,
1680000,  5250,   867, -1015,  6522, -2848, -1236,  -735,  1163,11111001, 0000000000,0252345537,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
1740000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1163,11111001, 0000754260,0252284544,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000754260,  5250,0000000000,
1800000,  5250,   867, -1015,  6523, -2848, -1237,  -735,  1163,11111001, 0000000000,0252227160,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
1860000,  5250,   867, -1015,  6522, -2847, -1236,  -734,  1164,11111001, 0000000000,0252226528,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
1920000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1164,11111001, 0000000000,0252206690,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
1980000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1164,11111001, 0000000000,0252167480,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
2040000,  5250,   867, -1015,  6522, -2847, -1237,  -735,  1163,11111001, 0000000000,0252155707,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
2100000,  5250,   867, -1015,  6522, -2847, -1237,  -734,  1165,11111001, 0000002990,0252126824,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000002990,  5250,0000000000,
2160000,  5250,   867, -1015,  6524, -2847, -1236,  -734,  1165,11111001, 0000007980,0252079998,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000007980,  5250,0000000000,
2220000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1165,11111001, 0000000000,0252049602,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
2280000,  5250,   867, -1015,  6523, -2847, -1236,  -735,  1165,11111001, 0000000000,0252049020,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
2340000,  5250,   867, -1015,  6523, -2847, -1236,  -735,  1163,11111001, 0002281750,0252006800,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0002281750,  5250,0000000000,
2400000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1164,11111001, 0000036910,0251950895,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000036910,  5250,0000000000,
2460000,  5250,   867, -1015,  6523, -2846, -1236,  -735,  1163,11111001, 0000039900,0251947935,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000039900,  5250,0000000000,
